Reference	Degraded	Fsample	PESQ_score
g729char/exp3/original/a/a_f02s22.8k.wav	g729char/exp1/coded/a/ae1f9a22.8k.out	8000	3.071
g729char/exp3/original/a/a_m01s22.8k.wav	g729char/exp1/coded/a/ae1m1622.8k.out	8000	3.068
g729char/exp3/original/a/a_m02s22.8k.wav	g729char/exp1/coded/a/ae1m4222.8k.out	8000	3.399
g729char/exp3/original/a/a_f01s23.8k.wav	g729char/exp1/coded/a/ae1f6f23.8k.out	8000	2.75
g729char/exp3/original/a/a_f02s23.8k.wav	g729char/exp1/coded/a/ae1f9b23.8k.out	8000	3.063
g729char/exp3/original/a/a_m01s23.8k.wav	g729char/exp1/coded/a/ae1m1723.8k.out	8000	2.935
g729char/exp3/original/a/a_m02s23.8k.wav	g729char/exp1/coded/a/ae1m4323.8k.out	8000	3.089
g729char/exp3/original/a/a_f01s24.8k.wav	g729char/exp1/coded/a/ae1f7024.8k.out	8000	2.981
g729char/exp3/original/a/a_f02s24.8k.wav	g729char/exp1/coded/a/ae1f9c24.8k.out	8000	2.943
g729char/exp3/original/a/a_m01s24.8k.wav	g729char/exp1/coded/a/ae1m1824.8k.out	8000	3.343
g729char/exp3/original/a/a_m02s24.8k.wav	g729char/exp1/coded/a/ae1m4424.8k.out	8000	3.462
g729char/exp3/original/a/a_f01s25.8k.wav	g729char/exp1/coded/a/ae1f7125.8k.out	8000	2.888
g729char/exp3/original/a/a_f02s25.8k.wav	g729char/exp1/coded/a/ae1f9d25.8k.out	8000	2.927
g729char/exp3/original/a/a_m01s25.8k.wav	g729char/exp1/coded/a/ae1m1925.8k.out	8000	3.292
g729char/exp3/original/a/a_m02s25.8k.wav	g729char/exp1/coded/a/ae1m4525.8k.out	8000	3.433
g729char/exp3/original/a/a_f01s26.8k.wav	g729char/exp1/coded/a/ae1f7226.8k.out	8000	2.997
g729char/exp3/original/a/a_f02s26.8k.wav	g729char/exp1/coded/a/ae1f9e26.8k.out	8000	3.22
g729char/exp3/original/a/a_m01s26.8k.wav	g729char/exp1/coded/a/ae1m1a26.8k.out	8000	3.251
g729char/exp3/original/a/a_m02s26.8k.wav	g729char/exp1/coded/a/ae1m4626.8k.out	8000	3.423
g729char/exp3/original/a/a_f01s27.8k.wav	g729char/exp1/coded/a/ae1f7327.8k.out	8000	3.097
g729char/exp3/original/a/a_f02s27.8k.wav	g729char/exp1/coded/a/ae1f9f27.8k.out	8000	3.186
g729char/exp3/original/a/a_m01s27.8k.wav	g729char/exp1/coded/a/ae1m1b27.8k.out	8000	3.243
g729char/exp3/original/a/a_m02s27.8k.wav	g729char/exp1/coded/a/ae1m4727.8k.out	8000	3.265
g729char/exp3/original/a/a_f01s28.8k.wav	g729char/exp1/coded/a/ae1f7428.8k.out	8000	2.824
g729char/exp3/original/a/a_f02s28.8k.wav	g729char/exp1/coded/a/ae1fa028.8k.out	8000	2.846
g729char/exp3/original/a/a_m01s28.8k.wav	g729char/exp1/coded/a/ae1m1c28.8k.out	8000	3
g729char/exp3/original/a/a_m02s28.8k.wav	g729char/exp1/coded/a/ae1m4828.8k.out	8000	3.282
g729char/exp3/original/a/a_f01s29.8k.wav	g729char/exp1/coded/a/ae1f7529.8k.out	8000	3.084
g729char/exp3/original/a/a_f02s29.8k.wav	g729char/exp1/coded/a/ae1fa129.8k.out	8000	3.308
g729char/exp3/original/a/a_m01s29.8k.wav	g729char/exp1/coded/a/ae1m1d29.8k.out	8000	3.485
g729char/exp3/original/a/a_m02s29.8k.wav	g729char/exp1/coded/a/ae1m4929.8k.out	8000	3.683
g729char/exp3/original/a/a_f01s30.8k.wav	g729char/exp1/coded/a/ae1f7630.8k.out	8000	3.162
g729char/exp3/original/a/a_f02s30.8k.wav	g729char/exp1/coded/a/ae1fa230.8k.out	8000	3.257
g729char/exp3/original/a/a_m01s30.8k.wav	g729char/exp1/coded/a/ae1m1e30.8k.out	8000	3.259
g729char/exp3/original/a/a_m02s30.8k.wav	g729char/exp1/coded/a/ae1m4a30.8k.out	8000	3.492
g729char/exp3/original/a/a_f01s31.8k.wav	g729char/exp1/coded/a/ae1f7731.8k.out	8000	3.082
g729char/exp3/original/a/a_f02s31.8k.wav	g729char/exp1/coded/a/ae1fa331.8k.out	8000	3.219
