REFERENCE	 DEGRADED	Fsample	 P.862.2_SCORE
g729char\exp2\pre_proc\a\a_m02l2a.axp	 g729char\exp2\coded\a\ae2m2a02.out	16000	3.35
g729char\exp2\pre_proc\a\a_f01l52.axp	 g729char\exp2\coded\a\ae2f5202.out	16000	2.999
g729char\exp2\pre_proc\a\a_f02l7a.axp	 g729char\exp2\coded\a\ae2f7a02.out	16000	3.051
g729char\exp2\pre_proc\a\a_m01l03.axp	 g729char\exp2\coded\a\ae2m0303.out	16000	3.165
g729char\exp2\pre_proc\a\a_m02l2b.axp	 g729char\exp2\coded\a\ae2m2b03.out	16000	3.313
g729char\exp2\pre_proc\a\a_f01l53.axp	 g729char\exp2\coded\a\ae2f5303.out	16000	3.025
g729char\exp2\pre_proc\a\a_f02l7b.axp	 g729char\exp2\coded\a\ae2f7b03.out	16000	3.19
g729char\exp2\pre_proc\a\a_m01l04.axp	 g729char\exp2\coded\a\ae2m0404.out	16000	2.574
g729char\exp2\pre_proc\a\a_m02l2c.axp	 g729char\exp2\coded\a\ae2m2c04.out	16000	2.704
g729char\exp2\pre_proc\a\a_f01l54.axp	 g729char\exp2\coded\a\ae2f5404.out	16000	2.576
g729char\exp2\pre_proc\a\a_f02l7c.axp	 g729char\exp2\coded\a\ae2f7c04.out	16000	2.559
g729char\exp2\pre_proc\a\a_m01l05.axp	 g729char\exp2\coded\a\ae2m0505.out	16000	3.067
g729char\exp2\pre_proc\a\a_m02l2d.axp	 g729char\exp2\coded\a\ae2m2d05.out	16000	3.466
g729char\exp2\pre_proc\a\a_f01l55.axp	 g729char\exp2\coded\a\ae2f5505.out	16000	3.177
g729char\exp2\pre_proc\a\a_f02l7d.axp	 g729char\exp2\coded\a\ae2f7d05.out	16000	3.3
g729char\exp2\pre_proc\a\a_m01l06.axp	 g729char\exp2\coded\a\ae2m0606.out	16000	3.514
g729char\exp2\pre_proc\a\a_m02l2e.axp	 g729char\exp2\coded\a\ae2m2e06.out	16000	3.61
g729char\exp2\pre_proc\a\a_f01l56.axp	 g729char\exp2\coded\a\ae2f5606.out	16000	3.187
g729char\exp2\pre_proc\a\a_f02l7e.axp	 g729char\exp2\coded\a\ae2f7e06.out	16000	3.128
g729char\exp2\pre_proc\a\a_m01l07.axp	 g729char\exp2\coded\a\ae2m0707.out	16000	2.668
g729char\exp2\pre_proc\a\a_m02l2f.axp	 g729char\exp2\coded\a\ae2m2f07.out	16000	2.799
g729char\exp2\pre_proc\a\a_f01l57.axp	 g729char\exp2\coded\a\ae2f5707.out	16000	2.524
g729char\exp2\pre_proc\a\a_f02l7f.axp	 g729char\exp2\coded\a\ae2f7f07.out	16000	2.355
g729char\exp2\pre_proc\a\a_m01l01.axp	 g729char\exp2\coded\a\ae2m0808.out	16000	3.17
g729char\exp2\pre_proc\a\a_m02l29.axp	 g729char\exp2\coded\a\ae2m3008.out	16000	2.994
g729char\exp2\pre_proc\a\a_f01l51.axp	 g729char\exp2\coded\a\ae2f5808.out	16000	2.502
g729char\exp2\pre_proc\a\a_f02l79.axp	 g729char\exp2\coded\a\ae2f8008.out	16000	2.695
g729char\exp2\pre_proc\a\a_m01l02.axp	 g729char\exp2\coded\a\ae2m0909.out	16000	2.611
g729char\exp2\pre_proc\a\a_m02l2a.axp	 g729char\exp2\coded\a\ae2m3109.out	16000	2.765
g729char\exp2\pre_proc\a\a_f01l52.axp	 g729char\exp2\coded\a\ae2f5909.out	16000	2.261
g729char\exp2\pre_proc\a\a_f02l7a.axp	 g729char\exp2\coded\a\ae2f8109.out	16000	2.379
g729char\exp2\pre_proc\a\a_m01l03.axp	 g729char\exp2\coded\a\ae2m0a10.out	16000	2.42
g729char\exp2\pre_proc\a\a_m02l2b.axp	 g729char\exp2\coded\a\ae2m3210.out	16000	2.453
g729char\exp2\pre_proc\a\a_f01l53.axp	 g729char\exp2\coded\a\ae2f5a10.out	16000	2.245
g729char\exp2\pre_proc\a\a_f02l7b.axp	 g729char\exp2\coded\a\ae2f8210.out	16000	2.459
g729char\exp2\pre_proc\a\a_m01l04.axp	 g729char\exp2\coded\a\ae2m0b11.out	16000	1.933
g729char\exp2\pre_proc\a\a_m02l2c.axp	 g729char\exp2\coded\a\ae2m3311.out	16000	2.093
g729char\exp2\pre_proc\a\a_f01l54.axp	 g729char\exp2\coded\a\ae2f5b11.out	16000	1.937
g729char\exp2\pre_proc\a\a_f02l7c.axp	 g729char\exp2\coded\a\ae2f8311.out	16000	1.885
g729char\exp2\pre_proc\a\a_m01l05.axp	 g729char\exp2\coded\a\ae2m0c12.out	16000	2.291
g729char\exp2\pre_proc\a\a_m02l2d.axp	 g729char\exp2\coded\a\ae2m3412.out	16000	2.59
g729char\exp2\pre_proc\a\a_f01l55.axp	 g729char\exp2\coded\a\ae2f5c12.out	16000	2.362
g729char\exp2\pre_proc\a\a_f02l7d.axp	 g729char\exp2\coded\a\ae2f8412.out	16000	2.466
g729char\exp2\pre_proc\a\a_m01l06.axp	 g729char\exp2\coded\a\ae2m0d13.out	16000	2.936
g729char\exp2\pre_proc\a\a_m02l2e.axp	 g729char\exp2\coded\a\ae2m3513.out	16000	2.978
g729char\exp2\pre_proc\a\a_f01l56.axp	 g729char\exp2\coded\a\ae2f5d13.out	16000	2.613
g729char\exp2\pre_proc\a\a_f02l7e.axp	 g729char\exp2\coded\a\ae2f8513.out	16000	2.543
g729char\exp2\pre_proc\a\a_m01l07.axp	 g729char\exp2\coded\a\ae2m0e14.out	16000	2.202
g729char\exp2\pre_proc\a\a_m02l2f.axp	 g729char\exp2\coded\a\ae2m3614.out	16000	2.314
g729char\exp2\pre_proc\a\a_f01l57.axp	 g729char\exp2\coded\a\ae2f5e14.out	16000	2.161
g729char\exp2\pre_proc\a\a_f02l7f.axp	 g729char\exp2\coded\a\ae2f8614.out	16000	2.055
g729char\exp2\pre_proc\a\a_m01l01.axp	 g729char\exp2\coded\a\ae2m0f15.out	16000	4.079
g729char\exp2\pre_proc\a\a_m02l29.axp	 g729char\exp2\coded\a\ae2m3715.out	16000	4.027
g729char\exp2\pre_proc\a\a_f01l51.axp	 g729char\exp2\coded\a\ae2f5f15.out	16000	3.634
g729char\exp2\pre_proc\a\a_f02l79.axp	 g729char\exp2\coded\a\ae2f8715.out	16000	3.661
g729char\exp2\pre_proc\a\a_m01l02.axp	 g729char\exp2\coded\a\ae2m1016.out	16000	4.205
g729char\exp2\pre_proc\a\a_m02l2a.axp	 g729char\exp2\coded\a\ae2m3816.out	16000	3.913
g729char\exp2\pre_proc\a\a_f01l52.axp	 g729char\exp2\coded\a\ae2f6016.out	16000	3.965
g729char\exp2\pre_proc\a\a_f02l7a.axp	 g729char\exp2\coded\a\ae2f8816.out	16000	3.95
g729char\exp2\pre_proc\a\a_m01l03.axp	 g729char\exp2\coded\a\ae2m1117.out	16000	4.138
g729char\exp2\pre_proc\a\a_m02l2b.axp	 g729char\exp2\coded\a\ae2m3917.out	16000	4.092
g729char\exp2\pre_proc\a\a_f01l53.axp	 g729char\exp2\coded\a\ae2f6117.out	16000	3.967
g729char\exp2\pre_proc\a\a_f02l7b.axp	 g729char\exp2\coded\a\ae2f8917.out	16000	3.995
g729char\exp2\pre_proc\a\a_m01l04.axp	 g729char\exp2\coded\a\ae2m1218.out	16000	4.069
g729char\exp2\pre_proc\a\a_m02l2c.axp	 g729char\exp2\coded\a\ae2m3a18.out	16000	4.003
g729char\exp2\pre_proc\a\a_f01l54.axp	 g729char\exp2\coded\a\ae2f6218.out	16000	3.937
g729char\exp2\pre_proc\a\a_f02l7c.axp	 g729char\exp2\coded\a\ae2f8a18.out	16000	4.062
g729char\exp2\pre_proc\a\a_m01l05.axp	 g729char\exp2\coded\a\ae2m1319.out	16000	4.054
g729char\exp2\pre_proc\a\a_m02l2d.axp	 g729char\exp2\coded\a\ae2m3b19.out	16000	4.113
g729char\exp2\pre_proc\a\a_f01l55.axp	 g729char\exp2\coded\a\ae2f6319.out	16000	4.224
g729char\exp2\pre_proc\a\a_f02l7d.axp	 g729char\exp2\coded\a\ae2f8b19.out	16000	4.095
g729char\exp2\pre_proc\a\a_m01l06.axp	 g729char\exp2\coded\a\ae2m1420.out	16000	4.127
g729char\exp2\pre_proc\a\a_m02l2e.axp	 g729char\exp2\coded\a\ae2m3c20.out	16000	4.091
g729char\exp2\pre_proc\a\a_f01l56.axp	 g729char\exp2\coded\a\ae2f6420.out	16000	4.052
g729char\exp2\pre_proc\a\a_f02l7e.axp	 g729char\exp2\coded\a\ae2f8c20.out	16000	3.903
g729char\exp2\pre_proc\a\a_m01l07.axp	 g729char\exp2\coded\a\ae2m1521.out	16000	3.531
g729char\exp2\pre_proc\a\a_m02l2f.axp	 g729char\exp2\coded\a\ae2m3d21.out	16000	3.734
g729char\exp2\pre_proc\a\a_f01l57.axp	 g729char\exp2\coded\a\ae2f6521.out	16000	3.445
g729char\exp2\pre_proc\a\a_f02l7f.axp	 g729char\exp2\coded\a\ae2f8d21.out	16000	3.266
g729char\exp2\pre_proc\a\a_m01l01.axp	 g729char\exp2\coded\a\ae2m1622.out	16000	3.768
g729char\exp2\pre_proc\a\a_m02l29.axp	 g729char\exp2\coded\a\ae2m3e22.out	16000	3.787
g729char\exp2\pre_proc\a\a_f01l51.axp	 g729char\exp2\coded\a\ae2f6622.out	16000	3.134
g729char\exp2\pre_proc\a\a_f02l79.axp	 g729char\exp2\coded\a\ae2f8e22.out	16000	3.325
g729char\exp2\pre_proc\a\a_m01l02.axp	 g729char\exp2\coded\a\ae2m1723.out	16000	3.993
g729char\exp2\pre_proc\a\a_m02l2a.axp	 g729char\exp2\coded\a\ae2m3f23.out	16000	3.77
g729char\exp2\pre_proc\a\a_f01l52.axp	 g729char\exp2\coded\a\ae2f6723.out	16000	3.712
g729char\exp2\pre_proc\a\a_f02l7a.axp	 g729char\exp2\coded\a\ae2f8f23.out	16000	3.725
g729char\exp2\pre_proc\a\a_m01l03.axp	 g729char\exp2\coded\a\ae2m1824.out	16000	3.914
g729char\exp2\pre_proc\a\a_m02l2b.axp	 g729char\exp2\coded\a\ae2m4024.out	16000	3.782
g729char\exp2\pre_proc\a\a_f01l53.axp	 g729char\exp2\coded\a\ae2f6824.out	16000	3.665
g729char\exp2\pre_proc\a\a_f02l7b.axp	 g729char\exp2\coded\a\ae2f9024.out	16000	3.875
g729char\exp2\pre_proc\a\a_m01l04.axp	 g729char\exp2\coded\a\ae2m1925.out	16000	3.928
g729char\exp2\pre_proc\a\a_m02l2c.axp	 g729char\exp2\coded\a\ae2m4125.out	16000	3.838
g729char\exp2\pre_proc\a\a_f01l54.axp	 g729char\exp2\coded\a\ae2f6925.out	16000	3.731
g729char\exp2\pre_proc\a\a_f02l7c.axp	 g729char\exp2\coded\a\ae2f9125.out	16000	3.924
g729char\exp2\pre_proc\a\a_m01l05.axp	 g729char\exp2\coded\a\ae2m1a26.out	16000	3.932
g729char\exp2\pre_proc\a\a_m02l2d.axp	 g729char\exp2\coded\a\ae2m4226.out	16000	4.021
g729char\exp2\pre_proc\a\a_f01l55.axp	 g729char\exp2\coded\a\ae2f6a26.out	16000	4.02
g729char\exp2\pre_proc\a\a_f02l7d.axp	 g729char\exp2\coded\a\ae2f9226.out	16000	3.821
g729char\exp2\pre_proc\a\a_m01l06.axp	 g729char\exp2\coded\a\ae2m1b27.out	16000	3.931
g729char\exp2\pre_proc\a\a_m02l2e.axp	 g729char\exp2\coded\a\ae2m4327.out	16000	3.974
g729char\exp2\pre_proc\a\a_f01l56.axp	 g729char\exp2\coded\a\ae2f6b27.out	16000	3.785
g729char\exp2\pre_proc\a\a_f02l7e.axp	 g729char\exp2\coded\a\ae2f9327.out	16000	3.666
g729char\exp2\pre_proc\a\a_m01l07.axp	 g729char\exp2\coded\a\ae2m1c28.out	16000	3.113
g729char\exp2\pre_proc\a\a_m02l2f.axp	 g729char\exp2\coded\a\ae2m4428.out	16000	3.259
g729char\exp2\pre_proc\a\a_f01l57.axp	 g729char\exp2\coded\a\ae2f6c28.out	16000	2.945
g729char\exp2\pre_proc\a\a_f02l7f.axp	 g729char\exp2\coded\a\ae2f9428.out	16000	2.85
g729char\exp2\original\a\a_m01s01.wav	 g729char\exp2\coded\a\ae2m1d29.out	16000	1.865
g729char\exp2\original\a\a_f01s01.wav	 g729char\exp2\coded\a\ae2f6d29.out	16000	1.258
g729char\exp2\original\a\a_m01s02.wav	 g729char\exp2\coded\a\ae2m1e30.out	16000	2.762
g729char\exp2\original\a\a_f01s02.wav	 g729char\exp2\coded\a\ae2f6e30.out	16000	1.846
g729char\exp2\original\a\a_m01s03.wav	 g729char\exp2\coded\a\ae2m1f31.out	16000	3.367
g729char\exp2\original\a\a_f01s03.wav	 g729char\exp2\coded\a\ae2f6f31.out	16000	2.244
g729char\exp2\original\a\a_m01s04.wav	 g729char\exp2\coded\a\ae2m2032.out	16000	3.659
g729char\exp2\original\a\a_f01s04.wav	 g729char\exp2\coded\a\ae2f7032.out	16000	3.139
g729char\exp2\original\a\a_m01s05.wav	 g729char\exp2\coded\a\ae2m2133.out	16000	3.693
g729char\exp2\original\a\a_f01s05.wav	 g729char\exp2\coded\a\ae2f7133.out	16000	3.705
g729char\exp2\pre_proc\a\a_m01l01.axp	 g729char\exp2\coded\a\ae2m2234.out	16000	4.351
g729char\exp2\pre_proc\a\a_f01l51.axp	 g729char\exp2\coded\a\ae2f7234.out	16000	4.348
g729char\exp2\pre_proc\a\a_m01l02.axp	 g729char\exp2\coded\a\ae2m2335.out	16000	4.508
g729char\exp2\pre_proc\a\a_f01l52.axp	 g729char\exp2\coded\a\ae2f7335.out	16000	4.45
g729char\exp2\pre_proc\a\a_m01l03.axp	 g729char\exp2\coded\a\ae2m2436.out	16000	4.438
g729char\exp2\pre_proc\a\a_f01l53.axp	 g729char\exp2\coded\a\ae2f7436.out	16000	4.373
g729char\exp2\pre_proc\a\a_m01l04.axp	 g729char\exp2\coded\a\ae2m2537.out	16000	4.453
g729char\exp2\pre_proc\a\a_f01l54.axp	 g729char\exp2\coded\a\ae2f7537.out	16000	4.428
g729char\exp2\pre_proc\a\a_m01l05.axp	 g729char\exp2\coded\a\ae2m2638.out	16000	4.382
g729char\exp2\pre_proc\a\a_f01l55.axp	 g729char\exp2\coded\a\ae2f7638.out	16000	4.491
g729char\exp2\pre_proc\a\a_m01l06.axp	 g729char\exp2\coded\a\ae2m2739.out	16000	4.351
g729char\exp2\pre_proc\a\a_f01l56.axp	 g729char\exp2\coded\a\ae2f7739.out	16000	4.366
g729char\exp2\pre_proc\a\a_m01l07.axp	 g729char\exp2\coded\a\ae2m2840.out	16000	4.336
g729char\exp2\pre_proc\a\a_f01l57.axp	 g729char\exp2\coded\a\ae2f7840.out	16000	4.425
g729char\exp2\pre_proc\d\d_m01l01.axp	 g729char\exp2\coded\d\de2m0101.out	16000	3.396
g729char\exp2\pre_proc\d\d_m02l29.axp	 g729char\exp2\coded\d\de2m2901.out	16000	3.361
g729char\exp2\pre_proc\d\d_f01l51.axp	 g729char\exp2\coded\d\de2f5101.out	16000	3.028
g729char\exp2\pre_proc\d\d_f02l79.axp	 g729char\exp2\coded\d\de2f7901.out	16000	2.801
g729char\exp2\pre_proc\d\d_m01l02.axp	 g729char\exp2\coded\d\de2m0202.out	16000	3.368
g729char\exp2\pre_proc\d\d_m02l2a.axp	 g729char\exp2\coded\d\de2m2a02.out	16000	3.261
g729char\exp2\pre_proc\d\d_f01l52.axp	 g729char\exp2\coded\d\de2f5202.out	16000	3.137
g729char\exp2\pre_proc\d\d_f02l7a.axp	 g729char\exp2\coded\d\de2f7a02.out	16000	3.183
g729char\exp2\pre_proc\d\d_m01l03.axp	 g729char\exp2\coded\d\de2m0303.out	16000	3.195
g729char\exp2\pre_proc\d\d_m02l2b.axp	 g729char\exp2\coded\d\de2m2b03.out	16000	3.423
g729char\exp2\pre_proc\d\d_f01l53.axp	 g729char\exp2\coded\d\de2f5303.out	16000	3.125
g729char\exp2\pre_proc\d\d_f02l7b.axp	 g729char\exp2\coded\d\de2f7b03.out	16000	3.263
g729char\exp2\pre_proc\d\d_m01l04.axp	 g729char\exp2\coded\d\de2m0404.out	16000	2.757
g729char\exp2\pre_proc\d\d_m02l2c.axp	 g729char\exp2\coded\d\de2m2c04.out	16000	2.818
g729char\exp2\pre_proc\d\d_f01l54.axp	 g729char\exp2\coded\d\de2f5404.out	16000	2.794
g729char\exp2\pre_proc\d\d_f02l7c.axp	 g729char\exp2\coded\d\de2f7c04.out	16000	2.889
g729char\exp2\pre_proc\d\d_m01l05.axp	 g729char\exp2\coded\d\de2m0505.out	16000	3.508
g729char\exp2\pre_proc\d\d_m02l2d.axp	 g729char\exp2\coded\d\de2m2d05.out	16000	3.487
g729char\exp2\pre_proc\d\d_f01l55.axp	 g729char\exp2\coded\d\de2f5505.out	16000	3.393
g729char\exp2\pre_proc\d\d_f02l7d.axp	 g729char\exp2\coded\d\de2f7d05.out	16000	3.23
g729char\exp2\pre_proc\d\d_m01l06.axp	 g729char\exp2\coded\d\de2m0606.out	16000	3.252
g729char\exp2\pre_proc\d\d_m02l2e.axp	 g729char\exp2\coded\d\de2m2e06.out	16000	3.531
g729char\exp2\pre_proc\d\d_f01l56.axp	 g729char\exp2\coded\d\de2f5606.out	16000	3.291
g729char\exp2\pre_proc\d\d_f02l7e.axp	 g729char\exp2\coded\d\de2f7e06.out	16000	3.178
g729char\exp2\pre_proc\d\d_m01l07.axp	 g729char\exp2\coded\d\de2m0707.out	16000	2.775
g729char\exp2\pre_proc\d\d_m02l2f.axp	 g729char\exp2\coded\d\de2m2f07.out	16000	3.023
g729char\exp2\pre_proc\d\d_f01l57.axp	 g729char\exp2\coded\d\de2f5707.out	16000	2.864
g729char\exp2\pre_proc\d\d_f02l7f.axp	 g729char\exp2\coded\d\de2f7f07.out	16000	2.893
g729char\exp2\pre_proc\d\d_m01l01.axp	 g729char\exp2\coded\d\de2m0808.out	16000	2.733
g729char\exp2\pre_proc\d\d_m02l29.axp	 g729char\exp2\coded\d\de2m3008.out	16000	2.753
g729char\exp2\pre_proc\d\d_f01l51.axp	 g729char\exp2\coded\d\de2f5808.out	16000	2.328
g729char\exp2\pre_proc\d\d_f02l79.axp	 g729char\exp2\coded\d\de2f8008.out	16000	2.402
g729char\exp2\pre_proc\d\d_m01l02.axp	 g729char\exp2\coded\d\de2m0909.out	16000	2.713
g729char\exp2\pre_proc\d\d_m02l2a.axp	 g729char\exp2\coded\d\de2m3109.out	16000	2.3
g729char\exp2\pre_proc\d\d_f01l52.axp	 g729char\exp2\coded\d\de2f5909.out	16000	2.153
g729char\exp2\pre_proc\d\d_f02l7a.axp	 g729char\exp2\coded\d\de2f8109.out	16000	2.568
g729char\exp2\pre_proc\d\d_m01l03.axp	 g729char\exp2\coded\d\de2m0a10.out	16000	2.566
g729char\exp2\pre_proc\d\d_m02l2b.axp	 g729char\exp2\coded\d\de2m3210.out	16000	2.797
g729char\exp2\pre_proc\d\d_f01l53.axp	 g729char\exp2\coded\d\de2f5a10.out	16000	2.47
g729char\exp2\pre_proc\d\d_f02l7b.axp	 g729char\exp2\coded\d\de2f8210.out	16000	2.478
g729char\exp2\pre_proc\d\d_m01l04.axp	 g729char\exp2\coded\d\de2m0b11.out	16000	2.11
g729char\exp2\pre_proc\d\d_m02l2c.axp	 g729char\exp2\coded\d\de2m3311.out	16000	2.069
g729char\exp2\pre_proc\d\d_f01l54.axp	 g729char\exp2\coded\d\de2f5b11.out	16000	1.968
g729char\exp2\pre_proc\d\d_f02l7c.axp	 g729char\exp2\coded\d\de2f8311.out	16000	2.123
g729char\exp2\pre_proc\d\d_m01l05.axp	 g729char\exp2\coded\d\de2m0c12.out	16000	2.746
g729char\exp2\pre_proc\d\d_m02l2d.axp	 g729char\exp2\coded\d\de2m3412.out	16000	2.673
g729char\exp2\pre_proc\d\d_f01l55.axp	 g729char\exp2\coded\d\de2f5c12.out	16000	2.629
g729char\exp2\pre_proc\d\d_f02l7d.axp	 g729char\exp2\coded\d\de2f8412.out	16000	2.391
g729char\exp2\pre_proc\d\d_m01l06.axp	 g729char\exp2\coded\d\de2m0d13.out	16000	2.665
g729char\exp2\pre_proc\d\d_m02l2e.axp	 g729char\exp2\coded\d\de2m3513.out	16000	2.748
g729char\exp2\pre_proc\d\d_f01l56.axp	 g729char\exp2\coded\d\de2f5d13.out	16000	2.629
g729char\exp2\pre_proc\d\d_f02l7e.axp	 g729char\exp2\coded\d\de2f8513.out	16000	2.669
g729char\exp2\pre_proc\d\d_m01l07.axp	 g729char\exp2\coded\d\de2m0e14.out	16000	2.263
g729char\exp2\pre_proc\d\d_m02l2f.axp	 g729char\exp2\coded\d\de2m3614.out	16000	2.562
g729char\exp2\pre_proc\d\d_f01l57.axp	 g729char\exp2\coded\d\de2f5e14.out	16000	2.424
g729char\exp2\pre_proc\d\d_f02l7f.axp	 g729char\exp2\coded\d\de2f8614.out	16000	2.513
g729char\exp2\pre_proc\d\d_m01l01.axp	 g729char\exp2\coded\d\de2m0f15.out	16000	3.631
g729char\exp2\pre_proc\d\d_m02l29.axp	 g729char\exp2\coded\d\de2m3715.out	16000	3.619
g729char\exp2\pre_proc\d\d_f01l51.axp	 g729char\exp2\coded\d\de2f5f15.out	16000	3.661
g729char\exp2\pre_proc\d\d_f02l79.axp	 g729char\exp2\coded\d\de2f8715.out	16000	3.482
g729char\exp2\pre_proc\d\d_m01l02.axp	 g729char\exp2\coded\d\de2m1016.out	16000	3.798
g729char\exp2\pre_proc\d\d_m02l2a.axp	 g729char\exp2\coded\d\de2m3816.out	16000	3.77
g729char\exp2\pre_proc\d\d_f01l52.axp	 g729char\exp2\coded\d\de2f6016.out	16000	3.903
g729char\exp2\pre_proc\d\d_f02l7a.axp	 g729char\exp2\coded\d\de2f8816.out	16000	3.898
g729char\exp2\pre_proc\d\d_m01l03.axp	 g729char\exp2\coded\d\de2m1117.out	16000	3.829
g729char\exp2\pre_proc\d\d_m02l2b.axp	 g729char\exp2\coded\d\de2m3917.out	16000	3.789
g729char\exp2\pre_proc\d\d_f01l53.axp	 g729char\exp2\coded\d\de2f6117.out	16000	4.037
g729char\exp2\pre_proc\d\d_f02l7b.axp	 g729char\exp2\coded\d\de2f8917.out	16000	3.965
g729char\exp2\pre_proc\d\d_m01l04.axp	 g729char\exp2\coded\d\de2m1218.out	16000	4.071
g729char\exp2\pre_proc\d\d_m02l2c.axp	 g729char\exp2\coded\d\de2m3a18.out	16000	3.902
g729char\exp2\pre_proc\d\d_f01l54.axp	 g729char\exp2\coded\d\de2f6218.out	16000	4.012
g729char\exp2\pre_proc\d\d_f02l7c.axp	 g729char\exp2\coded\d\de2f8a18.out	16000	4.002
g729char\exp2\pre_proc\d\d_m01l05.axp	 g729char\exp2\coded\d\de2m1319.out	16000	3.924
g729char\exp2\pre_proc\d\d_m02l2d.axp	 g729char\exp2\coded\d\de2m3b19.out	16000	3.888
g729char\exp2\pre_proc\d\d_f01l55.axp	 g729char\exp2\coded\d\de2f6319.out	16000	4.247
g729char\exp2\pre_proc\d\d_f02l7d.axp	 g729char\exp2\coded\d\de2f8b19.out	16000	3.884
g729char\exp2\pre_proc\d\d_m01l06.axp	 g729char\exp2\coded\d\de2m1420.out	16000	3.874
g729char\exp2\pre_proc\d\d_m02l2e.axp	 g729char\exp2\coded\d\de2m3c20.out	16000	3.713
g729char\exp2\pre_proc\d\d_f01l56.axp	 g729char\exp2\coded\d\de2f6420.out	16000	4.065
g729char\exp2\pre_proc\d\d_f02l7e.axp	 g729char\exp2\coded\d\de2f8c20.out	16000	3.814
g729char\exp2\pre_proc\d\d_m01l07.axp	 g729char\exp2\coded\d\de2m1521.out	16000	3.397
g729char\exp2\pre_proc\d\d_m02l2f.axp	 g729char\exp2\coded\d\de2m3d21.out	16000	3.496
g729char\exp2\pre_proc\d\d_f01l57.axp	 g729char\exp2\coded\d\de2f6521.out	16000	3.914
g729char\exp2\pre_proc\d\d_f02l7f.axp	 g729char\exp2\coded\d\de2f8d21.out	16000	3.617
g729char\exp2\pre_proc\d\d_m01l01.axp	 g729char\exp2\coded\d\de2m1622.out	16000	3.402
g729char\exp2\pre_proc\d\d_m02l29.axp	 g729char\exp2\coded\d\de2m3e22.out	16000	3.25
g729char\exp2\pre_proc\d\d_f01l51.axp	 g729char\exp2\coded\d\de2f6622.out	16000	3.372
g729char\exp2\pre_proc\d\d_f02l79.axp	 g729char\exp2\coded\d\de2f8e22.out	16000	3.163
g729char\exp2\pre_proc\d\d_m01l02.axp	 g729char\exp2\coded\d\de2m1723.out	16000	3.717
g729char\exp2\pre_proc\d\d_m02l2a.axp	 g729char\exp2\coded\d\de2m3f23.out	16000	3.623
g729char\exp2\pre_proc\d\d_f01l52.axp	 g729char\exp2\coded\d\de2f6723.out	16000	3.723
g729char\exp2\pre_proc\d\d_f02l7a.axp	 g729char\exp2\coded\d\de2f8f23.out	16000	3.742
g729char\exp2\pre_proc\d\d_m01l03.axp	 g729char\exp2\coded\d\de2m1824.out	16000	3.756
g729char\exp2\pre_proc\d\d_m02l2b.axp	 g729char\exp2\coded\d\de2m4024.out	16000	3.673
g729char\exp2\pre_proc\d\d_f01l53.axp	 g729char\exp2\coded\d\de2f6824.out	16000	3.887
g729char\exp2\pre_proc\d\d_f02l7b.axp	 g729char\exp2\coded\d\de2f9024.out	16000	3.81
g729char\exp2\pre_proc\d\d_m01l04.axp	 g729char\exp2\coded\d\de2m1925.out	16000	4.001
g729char\exp2\pre_proc\d\d_m02l2c.axp	 g729char\exp2\coded\d\de2m4125.out	16000	3.809
g729char\exp2\pre_proc\d\d_f01l54.axp	 g729char\exp2\coded\d\de2f6925.out	16000	3.937
g729char\exp2\pre_proc\d\d_f02l7c.axp	 g729char\exp2\coded\d\de2f9125.out	16000	3.847
g729char\exp2\pre_proc\d\d_m01l05.axp	 g729char\exp2\coded\d\de2m1a26.out	16000	3.959
g729char\exp2\pre_proc\d\d_m02l2d.axp	 g729char\exp2\coded\d\de2m4226.out	16000	3.75
g729char\exp2\pre_proc\d\d_f01l55.axp	 g729char\exp2\coded\d\de2f6a26.out	16000	4.124
g729char\exp2\pre_proc\d\d_f02l7d.axp	 g729char\exp2\coded\d\de2f9226.out	16000	3.704
g729char\exp2\pre_proc\d\d_m01l06.axp	 g729char\exp2\coded\d\de2m1b27.out	16000	3.688
g729char\exp2\pre_proc\d\d_m02l2e.axp	 g729char\exp2\coded\d\de2m4327.out	16000	3.685
g729char\exp2\pre_proc\d\d_f01l56.axp	 g729char\exp2\coded\d\de2f6b27.out	16000	3.92
g729char\exp2\pre_proc\d\d_f02l7e.axp	 g729char\exp2\coded\d\de2f9327.out	16000	3.606
g729char\exp2\pre_proc\d\d_m01l07.axp	 g729char\exp2\coded\d\de2m1c28.out	16000	3.233
g729char\exp2\pre_proc\d\d_m02l2f.axp	 g729char\exp2\coded\d\de2m4428.out	16000	3.159
g729char\exp2\pre_proc\d\d_f01l57.axp	 g729char\exp2\coded\d\de2f6c28.out	16000	3.515
g729char\exp2\pre_proc\d\d_f02l7f.axp	 g729char\exp2\coded\d\de2f9428.out	16000	3.316
g729char\exp2\pre_proc\d\d_m01l01.axp	 g729char\exp2\coded\d\de2m1d29.out	16000	1.818
g729char\exp2\pre_proc\d\d_f01l51.axp	 g729char\exp2\coded\d\de2f6d29.out	16000	1.211
g729char\exp2\pre_proc\d\d_m01l01.axp	 g729char\exp2\coded\d\de2m1e30.out	16000	2.672
g729char\exp2\pre_proc\d\d_f01l51.axp	 g729char\exp2\coded\d\de2f6e30.out	16000	1.592
g729char\exp2\pre_proc\d\d_m01l01.axp	 g729char\exp2\coded\d\de2m1f31.out	16000	3.407
