REFERENCE	 DEGRADED	Fsample	 P.862.2_SCORE
g729char\exp3\original\a\a_m01s29.wav	 g729char\exp1\coded\a\ae1m1d29.out	16000	2.758
g729char\exp3\original\a\a_m02s29.wav	 g729char\exp1\coded\a\ae1m4929.out	16000	2.982
g729char\exp3\original\a\a_f01s30.wav	 g729char\exp1\coded\a\ae1f7630.out	16000	2.359
g729char\exp3\original\a\a_f02s30.wav	 g729char\exp1\coded\a\ae1fa230.out	16000	2.494
g729char\exp3\original\a\a_m01s30.wav	 g729char\exp1\coded\a\ae1m1e30.out	16000	2.273
g729char\exp3\original\a\a_m02s30.wav	 g729char\exp1\coded\a\ae1m4a30.out	16000	2.642
g729char\exp3\original\a\a_f01s31.wav	 g729char\exp1\coded\a\ae1f7731.out	16000	2.271
g729char\exp3\original\a\a_f02s31.wav	 g729char\exp1\coded\a\ae1fa331.out	16000	2.491
g729char\exp3\original\a\a_m01s31.wav	 g729char\exp1\coded\a\ae1m1f31.out	16000	2.681
g729char\exp3\original\a\a_m02s31.wav	 g729char\exp1\coded\a\ae1m4b31.out	16000	2.991
g729char\exp3\original\a\a_f01s32.wav	 g729char\exp1\coded\a\ae1f7832.out	16000	1.733
g729char\exp3\original\a\a_f02s32.wav	 g729char\exp1\coded\a\ae1fa432.out	16000	1.868
g729char\exp3\original\a\a_m01s32.wav	 g729char\exp1\coded\a\ae1m2032.out	16000	2.56
g729char\exp3\original\a\a_m02s32.wav	 g729char\exp1\coded\a\ae1m4c32.out	16000	2.464
g729char\exp3\original\a\a_f01s33.wav	 g729char\exp1\coded\a\ae1f7933.out	16000	1.624
g729char\exp3\original\a\a_f02s33.wav	 g729char\exp1\coded\a\ae1fa533.out	16000	1.93
g729char\exp3\original\a\a_m01s33.wav	 g729char\exp1\coded\a\ae1m2133.out	16000	2.353
g729char\exp3\original\a\a_m02s33.wav	 g729char\exp1\coded\a\ae1m4d33.out	16000	2.349
g729char\exp3\original\a\a_f01s34.wav	 g729char\exp1\coded\a\ae1f7a34.out	16000	2.012
g729char\exp3\original\a\a_f02s34.wav	 g729char\exp1\coded\a\ae1fa634.out	16000	2.126
g729char\exp3\original\a\a_m01s34.wav	 g729char\exp1\coded\a\ae1m2234.out	16000	2.303
g729char\exp3\original\a\a_m02s34.wav	 g729char\exp1\coded\a\ae1m4e34.out	16000	2.726
g729char\exp3\original\a\a_f01s35.wav	 g729char\exp1\coded\a\ae1f7b35.out	16000	1.967
g729char\exp3\original\a\a_f02s35.wav	 g729char\exp1\coded\a\ae1fa735.out	16000	2.015
g729char\exp3\original\a\a_m01s35.wav	 g729char\exp1\coded\a\ae1m2335.out	16000	2.011
g729char\exp3\original\a\a_m02s35.wav	 g729char\exp1\coded\a\ae1m4f35.out	16000	2.456
g729char\exp3\original\a\a_f01s36.wav	 g729char\exp1\coded\a\ae1f7c36.out	16000	1.798
g729char\exp3\original\a\a_f02s36.wav	 g729char\exp1\coded\a\ae1fa836.out	16000	1.842
g729char\exp3\original\a\a_m01s36.wav	 g729char\exp1\coded\a\ae1m2436.out	16000	2.259
g729char\exp3\original\a\a_m02s36.wav	 g729char\exp1\coded\a\ae1m5036.out	16000	2.534
g729char\exp3\original\a\a_f01s37.wav	 g729char\exp1\coded\a\ae1f7d37.out	16000	1.245
g729char\exp3\original\a\a_f02s37.wav	 g729char\exp1\coded\a\ae1fa937.out	16000	1.163
g729char\exp3\original\a\a_m01s37.wav	 g729char\exp1\coded\a\ae1m2537.out	16000	1.785
g729char\exp3\original\a\a_m02s37.wav	 g729char\exp1\coded\a\ae1m5137.out	16000	1.719
g729char\exp3\original\a\a_f01s38.wav	 g729char\exp1\coded\a\ae1f7e38.out	16000	1.402
g729char\exp3\original\a\a_f02s38.wav	 g729char\exp1\coded\a\ae1faa38.out	16000	1.875
g729char\exp3\original\a\a_m01s38.wav	 g729char\exp1\coded\a\ae1m2638.out	16000	2.434
g729char\exp3\original\a\a_m02s38.wav	 g729char\exp1\coded\a\ae1m5238.out	16000	2.239
g729char\exp3\original\a\a_f01s39.wav	 g729char\exp1\coded\a\ae1f7f39.out	16000	2.017
g729char\exp3\original\a\a_f02s39.wav	 g729char\exp1\coded\a\ae1fab39.out	16000	2.383
g729char\exp3\original\a\a_m01s39.wav	 g729char\exp1\coded\a\ae1m2739.out	16000	2.934
g729char\exp3\original\a\a_m02s39.wav	 g729char\exp1\coded\a\ae1m5339.out	16000	2.932
g729char\exp3\original\a\a_f01s40.wav	 g729char\exp1\coded\a\ae1f8040.out	16000	2.678
g729char\exp3\original\a\a_f02s40.wav	 g729char\exp1\coded\a\ae1fac40.out	16000	2.774
g729char\exp3\original\a\a_m01s40.wav	 g729char\exp1\coded\a\ae1m2840.out	16000	3.396
g729char\exp3\original\a\a_m02s40.wav	 g729char\exp1\coded\a\ae1m5440.out	16000	3.275
g729char\exp3\original\a\a_f01s41.wav	 g729char\exp1\coded\a\ae1f8141.out	16000	2.868
g729char\exp3\original\a\a_f02s41.wav	 g729char\exp1\coded\a\ae1fad41.out	16000	3.185
g729char\exp3\original\a\a_m01s41.wav	 g729char\exp1\coded\a\ae1m2941.out	16000	3.42
g729char\exp3\original\a\a_m02s41.wav	 g729char\exp1\coded\a\ae1m5541.out	16000	3.471
g729char\exp3\original\a\a_f01s42.wav	 g729char\exp1\coded\a\ae1f8242.out	16000	3.092
g729char\exp3\original\a\a_f02s42.wav	 g729char\exp1\coded\a\ae1fae42.out	16000	3.744
g729char\exp3\original\a\a_m01s42.wav	 g729char\exp1\coded\a\ae1m2a42.out	16000	3.693
g729char\exp3\original\a\a_m02s42.wav	 g729char\exp1\coded\a\ae1m5642.out	16000	3.586
g729char\exp3\original\a\a_f01s43.wav	 g729char\exp1\coded\a\ae1f8343.out	16000	3.428
g729char\exp3\original\a\a_f02s43.wav	 g729char\exp1\coded\a\ae1faf43.out	16000	3.635
g729char\exp3\original\a\a_m01s43.wav	 g729char\exp1\coded\a\ae1m2b43.out	16000	4.005
g729char\exp3\original\a\a_m02s43.wav	 g729char\exp1\coded\a\ae1m5743.out	16000	3.724
g729char\exp3\original\a\a_f01s44.wav	 g729char\exp1\coded\a\ae1f8444.out	16000	3.492
g729char\exp3\original\a\a_f02s44.wav	 g729char\exp1\coded\a\ae1fb044.out	16000	3.944
g729char\exp3\original\a\a_m01s44.wav	 g729char\exp1\coded\a\ae1m2c44.out	16000	3.889
g729char\exp3\original\a\a_m02s44.wav	 g729char\exp1\coded\a\ae1m5844.out	16000	3.868
g729char\exp1\original\d\d_f01s01.wav	 g729char\exp1\coded\d\de1f5901.out	16000	2.599
g729char\exp1\original\d\d_f02s01.wav	 g729char\exp1\coded\d\de1f8501.out	16000	2.574
g729char\exp1\original\d\d_m01s01.wav	 g729char\exp1\coded\d\de1m0101.out	16000	3.304
g729char\exp1\original\d\d_m02s01.wav	 g729char\exp1\coded\d\de1m2d01.out	16000	3.178
g729char\exp1\original\d\d_f01s02.wav	 g729char\exp1\coded\d\de1f5a02.out	16000	2.333
g729char\exp1\original\d\d_f02s02.wav	 g729char\exp1\coded\d\de1f8602.out	16000	2.068
g729char\exp1\original\d\d_m01s02.wav	 g729char\exp1\coded\d\de1m0202.out	16000	2.623
g729char\exp1\original\d\d_m02s02.wav	 g729char\exp1\coded\d\de1m2e02.out	16000	2.744
